U_ID,Seq_ID,Sample_ID,Env_ID
BI_1035,WW.NE1.GC1.9.10.Pond.78combo,WW_NE1_GC1_9_10_Pond_78combo,MW_SI1_09-01-10_GolfCoursePond
BS_1045,WW.NE1.WW1.9.10.Eff.77combo,WW_NE1_WW1_9_10_Eff_77combo,MW_TP1_09-01-10_Effluent
BG_1033,WW.NE1.GC.Pond.7.10.65,WW_NE1-GC-Pond-7-10_65,MW_SI1_07-03-10_GolfCoursePond
BH_1034,WW.NE1.GC1.10.10.Pond.86,WW_NE1-GC1-10-10-Pond_86,MW_SI1_10-01-10_GolfCoursePond
BJ_1036,WW.NE1.WW.2C.7.10.63,WW_NE1-WW_2C-7-10_63,MW_TP1_07-03-10_SecondaryClarifier
BK_1037,WW.NE1.WW.Eff.7.10.64,WW_NE1-WW_Eff-7-10_64,MW_TP1_07-03-10_Effluent
BL_1038,WW.NE1.WW.Inf.7.10.61,WW_NE1-WW_Inf-7-10_61,MW_TP1_07-03-10_RawInfluent
BM_1039,WW.NE1.WW.PA.7.10.62.1A,WW_NE1-WW_PA-7-10_62-2,MW_TP1_07-03-10_PostAeration
BN_1040,WW.NE1.WW.PA.7.10.62.1B,WW_NE1-WW_PA-7-10_62-2,MW_TP1_07-03-10_PostAeration
EY_1129,WW.NE1.WW.PA.7.10.62.2,WW_NE1-WW_PA-7-10_62-2,MW_TP1_07-03-10_PostAeration
BO_1041,WW.NE1.WW1.10.10.Eff.85,WW_NE1-WW1-10-10-Eff_85,MW_TP1_10-01-10_Effluent
BP_1042,WW.NE1.WW1.10.10.Inf.82,WW_NE1-WW1-10-10-Inf_82,MW_TP1_10-01-10_RawInfluent
BQ_1043,WW.NE1.WW1.10.10.PA.83,WW_NE1-WW1-10-10-PA_83,MW_TP1_10-01-10_PostAeration
BR_1044,WW.NE1.WW1.10.10.Sec.84,WW_NE1-WW1-10-10-Sec_84,MW_TP1_10-01-10_SecondaryClarifier
BT_1046,WW.NE1.WW1.9.10.Inf.Inf75dil,WW_NE1-WW1-9-10-Inf_Inf75dil,MW_TP1_09-01-10_RawInfluent
FA_1131,WW.NE1.WW1.9.10.Inf.Inf75,WW_NE1-WW1-9-10-Inf_Inf75,MW_TP1_09-01-10_RawInfluent
BU_1047,WW.NE1.WW1.9.10.Post.76,WW_NE1-WW1-9-10-Post_76,MW_TP1_09-01-10_PostAeration
FC_1133,WW.NE2.WW2.10.10.Bcell.88.plus16hr,WW_NE2_WW2_10_10_Bcell_88_plus16hr,MW_TP2_10-01-10_CellB
FD_1134,WW.NE2.WW2.10.10.Eff.89combo,WW_NE2_WW2_10_10_Eff_89combo,MW_TP2_10-01-10_Effluent
BV_1048,WW.NE2.AGR1.Pump.8.10.74,WW_NE2-AGR1-Pump-8-10_74,MW_SI2_08-01-10_AgriculturalSitePump
BW_1049,WW.NE2.GC2.10.10.Hose.90combo,WW_NE2_GC2_10_10_Hose_90combo,MW_SI2_10-01-10_GolfCourseHose
BX_1050,WW.NE2.GC2.9.10.Hose.81,WW_NE2-GC2-9-10-Hose_81,MW_SI2_09-01-10_GolfCourseHose
BZ_1052,WW.NE2.GC2.Hose.8.10.73,WW_NE2-GC2-Hose-8-10_73,MW_SI2_08-01-10_GolfCourseHose
CA_1053,WW.NE2.ww2.10.10.Bcell.88.16hr,WW_NE2-ww2-10-10-Bcell_88_16hr,MW_TP2_10-01-10_CellB
CB_1054,WW.NE2.ww2.10.10.Bcell.88.plus16hr,NA,MW_TP2_10-01-10_CellB
CC_1055,WW.NE2.WW2.10.10.Bcell.88combo,WW_NE2_WW2_10_10_Bcell_88combo,MW_TP2_10-01-10_CellB
CD_1056,WW.NE2.WW2.10.10.Inf.87,WW_NE2-WW2-10-10-Inf_87,MW_TP2_10-01-10_RawInfluent
CF_1058,WW.NE2.WW2.9.10.Eff.93,WW_NE2-WW2-9-10_Eff_93,MW_TP2_09-01-10_Effluent
CE_1057,WW.NE2.WW2.9.10.cellB.80,WW_NE2-WW2-9-10-cellB_80,MW_TP2_09-01-10_CellB
FB_1132,WW.NE2.WW2.9.10.Influent.79,WW_NE2-WW2-9-10-Influent_79,MW_TP2_09-01-10_RawInfluent
CG_1059,WW.NE2.WW2.CellB.7.10.68,WW_NE2-WW2-CellB-7-10_68,MW_TP2_07-10-10_CellB
CH_1060,WW.NE2.WW2.CellB.8.10.71,WW_NE2-WW2-CellB-8-10_71,MW_TP2_08-01-10_CellB
CI_1061,WW.NE2.WW2.Eff.7.10.67,WW_NE2-WW2-Eff-7-10_67,MW_TP2_07-10-10_Effluent
CJ_1062,WW.NE2.WW2.Eff.8.10.72,WW_NE2-WW2-Eff-8-10_72,MW_TP2_08-01-10_Effluent
CK_1063,WW.NE2.WW2.Inf.7.10.66,WW_NE2-WW2-Inf-7-10_66,MW_TP2_07-10-10_RawInfluent
EZ_1130,WW.NE2.WW2.Influent.8.10.70,WW_NE2-WW2-Influent-8-10_70,MW_TP2_08-01-10_RawInfluent
CN_1066,WW.Pond.4,WW_Pond_4,MA_SI1_05-21-09_HoldingPondInlet
CO_1067,WW.SI.10.09.BUV.21.16hr,WW_SI_10_09_BUV_21_16hr,MA_SI1_10-27-09_BeforeUVTreatment
CP_1068,WW.SI.10.09.BUV.21.plus16hr,WW_SI_10_09_BUV_21_plus16hr,MA_SI1_10-27-09_BeforeUVTreatment
CQ_1069,WW.SI1.08.09.1Inf.10,WW_SI1_08_09_1Inf_10,MA_TP1_08-17-09_RawInfluent
CR_1070,WW.SI1.08.09.1Inf.Inf10dil,WW_SI1_08_09_1Inf_10,MA_TP1_08-17-09_RawInfluent
EO_1119,WW.SI1.08.09.1Inf.10dil,WW_SI1_08_09_1Inf_10dil,MA_TP1_08-17-09_RawInfluent
CS_1071,WW.SI1.08.09.2Inf.11,WW_SI1_08_09_2Inf_11,MA_TP1_08-17-09_PostScreeningInfluent
CT_1072,WW.SI1.08.09.2Inf.11dil,WW_SI1_08_09_2Inf_11dil,MA_TP1_08-17-09_PostScreeningInfluent
CU_1073,WW.SI1.08.09.AUV.14,WW_SI1_08_09_AUV_14,MA_SI1_08-17-09_AfterUVTreatment
CV_1074,WW.SI1.08.09.BUV.13,WW_SI1_08_09_BUV_13,MA_SI1_08-17-09_BeforeUVTreatment
CW_1075,WW.SI1.08.09.Eff.12,WW_SI1_08_09_Eff_12,MA_TP1_08-17-09_Effluent
CX_1076,WW.SI1.08.09.IPH.16,WW_SI1_08_09_IPH_16,MA_SI1_08-17-09_PumpHouseInlet
CY_1077,WW.SI1.0809.Pond.15,WW_SI1_0809_Pond_15,MA_SI1_08-17-09_HoldingPondInlet
CZ_1078,WW.SI1.10.09.AUV.22.16hr,WW_SI1_10_09_AUV_22_16hr,MA_SI1_10-27-09_AfterUVTreatment
DA_1079,WW.SI1.10.09.AUV.22.plus16hr,WW_SI1_10_09_AUV_22_plus16hr,MA_SI1_10-27-09_AfterUVTreatment
DB_1080,WW.SI1.10.09.IPH.24,WW_SI1_10_09_IPH_24,MA_SI1_10-27-09_PumpHouseInlet
DC_1081,WW.SI1.10.09.Pond.23,WW_SI1_10_09_Pond_23,MA_SI1_10-27-09_HoldingPondInlet
DD_1082,WW.SI1.6.22.10.AUV1.31,WW_SI1_6_22_10_AUV1_31,MA_SI1_06-22-10_AfterUVTreatment
DE_1083,WW.SI1.6.22.10.AUV2.32,WW_SI1_6_22_10_AUV2_32,MA_SI1_06-22-10_AfterUVTreatment
DF_1084,WW.SI1.6.22.10.BUV1.29,WW_SI1_6_22_10_BUV1_29,MA_SI1_06-22-10_BeforeUVTreatment
DG_1085,WW.SI1.6.22.10.BUV2.30,WW_SI1_6_22_10_BUV2_30,MA_SI1_06-22-10_BeforeUVTreatment
DH_1086,WW.SI1.6.22.10.IPH1.35,WW_SI1_6_22_10_IPH1_35,MA_SI1_06-22-10_PumpHouseInlet
DI_1087,WW.SI1.6.22.10.IPH2.36,WW_SI1_6_22_10_IPH2_36,MA_SI1_06-22-10_PumpHouseInlet
DJ_1088,WW.SI1.6.22.10.Pond1.33,WW_SI1_6_22_10_Pond1_33,MA_SI1_06-22-10_HoldingPondInlet
DK_1089,WW.SI1.6.22.10.Pond2.34,WW_SI1_6_22_10_Pond2_34,MA_SI1_06-22-10_HoldingPondInlet
DL_1090,WW.SI1.7.19.10.AUV1.39,WW_SI1_7_19_10_AUV1_39,MA_SI1_07-19-10_AfterUVTreatment
DM_1091,WW.SI1.7.19.10.AUV2.40,WW_SI1_7_19_10_AUV2_40,MA_SI1_07-19-10_AfterUVTreatment
DN_1092,WW.SI1.7.19.10.BUV1.37,WW_SI1_7_19_10_BUV1_37,MA_SI1_07-19-10_BeforeUVTreatment
DO_1093,WW.SI1.7.19.10.BUV2.38,WW_SI1_7_19_10_BUV2_38,MA_SI1_07-19-10_BeforeUVTreatment
DP_1094,WW.SI1.7.19.10.IPH1.43,WW_SI1_7_19_10_IPH1_43,MA_SI1_07-19-10_PumpHouseInlet
DQ_1095,WW.SI1.7.19.10.IPH2.44,WW_SI1_7_19_10_IPH2_44,MA_SI1_07-19-10_PumpHouseInlet
DR_1096,WW.SI1.7.19.10.Pond2.42,WW_SI1_7_19_10_Pond2_42,MA_SI1_07-19-10_HoldingPondInlet
EQ_1121,WW.SI1.7.19.10.Pond1.41,WW_SI1_7-19-10_Pond1_41,MA_SI1_07-19-10_HoldingPondInlet
DS_1097,WW.SI1.9.2.10.AUV1.47,WW_SI1_9_2_10_AUV1_47,MA_SI1_09-02-10_AfterUVTreatment
DT_1098,WW.SI1.9.2.10.IPH1.51,WW_SI1_9_2_10_IPH1_51,MA_SI1_09-02-10_PumpHouseInlet
DU_1099,WW.SI1.9.2.10.IPH2.52,WW_SI1_9_2_10_IPH2_52,MA_SI1_09-02-10_PumpHouseInlet
DV_1100,WW.SI1.9.2.10.Pond2.50,WW_SI1_9_2_10_Pond2_50,MA_SI1_09-02-10_HoldingPondInlet
ET_1124,WW.SI1.9.2.10.A.UV2.48,WW_SI1_9-2-10_A.UV2_48,MA_SI1_09-02-10_AfterUVTreatment
ER_1122,WW.SI1.9.2.10.B.UV1.45,WW_SI1_9-2-10_B.UV1_45,MA_SI1_09-02-10_BeforeUVTreatment
ES_1123,WW.SI1.9.2.10.B.UV2.46,WW_SI1_9-2-10_B.UV2_46,MA_SI1_09-02-10_BeforeUVTreatment
EU_1125,WW.SI1.9.2.10.Pond1.49,WW_SI1_9-2-10_Pond1_49,MA_SI1_09-02-10_HoldingPondInlet
DW_1101,WW.WW1.10.09.1Inf.Inf17dil,WW_WW1_10_09_1Inf_Inf17dil,MA_TP1_10-22-09_RawInfluent
EP_1120,WW.WW1.10.09.1Inf.Inf17,WW_WW1_10_09_1Inf_Inf17,MA_TP1_10-22-09_RawInfluent
DX_1102,WW.WW1.10.09.2Clar.19combo,WW_WW1_10_09_2Clar_19combo,MA_TP1_10-22-09_SecondaryClarifier
DY_1103,WW.WW1.10.09.ASR.18,WW_WW1_10_09_ASR_18,MA_TP1_10-22-09_ActivatedSludgeReactor
DZ_1104,WW.WW1.10.09.Eff20combo,WW_WW1_10_09_Eff20combo,MA_TP1_10-22-09_Effluent
EA_1105,WW.WW1.12.09.1Inf.25,WW_WW1_12_09_1Inf_25,MA_TP1_12-08-09_RawInfluent
EB_1106,WW.WW1.12.09.2Clar.27combo,WW_WW1_12_09_2Clar_27combo,MA_TP1_12-08-09_SecondaryClarifier
EC_1107,WW.WW1.12.09.ASR.26,WW_WW1_12_09_ASR_26,MA_TP1_12-08-09_ActivatedSludgeReactor
ED_1108,WW.WW1.12.09.Eff.28combo,WW_WW1_12_09_Eff_28combo,MA_TP1_12-08-09_Effluent
EE_1109,WW.WW2.10.10.2Clar1.57.16hr,WW_WW2_10_10_2Clar1_57_16hr,MA_TP2_10-19-10_SecondaryClarifier
EF_1110,WW.WW2.10.10.2Clar1.57.plus16hr,WW_WW2_10_10_2Clar1_57_plus16hr,MA_TP2_10-19-10_SecondaryClarifier
EG_1111,WW.WW2.10.10.2Clar2.58.16hr,WW_WW2_10_10_2Clar2_58_16hr,MA_TP2_10-19-10_SecondaryClarifier
EH_1112,WW.WW2.10.10.2Clar2.58.plus16hr,WW_WW2_10_10_2Clar2_58_plus16hr,MA_TP2_10-19-10_SecondaryClarifier
EI_1113,WW.WW2.10.10.ASR1.55dil,WW_WW2_10_10_ASR1_55dil,MA_TP2_10-19-10_ActivatedSludgeReactor
EV_1126,WW.WW2.10.10.ASR1.55,WW_WW2_10_10_ASR1_55,MA_TP2_10-19-10_ActivatedSludgeReactor
EJ_1114,WW.WW2.10.10.ASR2.56dil,WW_WW2_10_10_ASR2_56dil,MA_TP2_10-19-10_ActivatedSludgeReactor
EW_1127,WW.WW2.10.10.ASR2.56,WW_WW2_10_10_ASR2_56,MA_TP2_10-19-10_ActivatedSludgeReactor
EK_1115,WW.WW2.10.10.Eff1.59,WW_WW2_10_10_Eff1_59,MA_TP2_10-19-10_Effluent
EL_1116,WW.WW2.10.10.Inf1.53,WW_WW2_10_10_Inf1_53,MA_TP2_10-19-10_RawInfluent
EM_1117,WW.WW2.10.10.Inf2.54,WW_WW2_10_10_Inf2_54,MA_TP2_10-19-10_RawInfluent
EX_1128,WW2.10.10.Eff2.60,WW2_10-10_Eff2_60,MA_TP2_10-19-10_Effluent
